Protein
P07713
P23255
P20227
P14003
P16371
Q01069
Q01070
Q27272
P09775
Q01068
P10083
P49847
P51123
P47825
Q24325
P49905
P04637
P08047
P10090
P12428
P03254
Q07291
P11420
Q01071
P10084
P13097
P13096
P48987
Q64279
P19538
P23647
P18491
P21675
P19793
P34021
P20153
P49869
P49870
P49700
P31266
P07207
Q01705
P28159
P25028
P23572
P61024
P23573
O02194
Q27387
P08928
Q9VAN0
P14734
P08182
Q01644
Q01642
Q9VAU9
P39768
Q9VIW0
P48149
Q9VIU7
P29503
P38979
O16797
Q9VVX3
P53501
P48601
Q9U1K1
P92208
Q9VHS2
P18459
Q24141
P05084
Q24400
P29052
Q24260
P52295
Q27889
Q8INW0
O76924
P25171
Q8MYW5
P54356
P11455
Q94981
P23696
Q9VLP3
P19109
Q9W0W6
Q9VJD2
P39736
Q9VQQ9
Q9VMA3
P13008
Q8T0S6
P15330
P00528
Q9W2D9
Q9W4E2
Q86LC4
P16378
Q9VD25
P02834
P14199
O16011
P10981
Q8T053
Q24117
Q9VV43
Q9VCH4
A1Z6E8
Q9GYU8
P09089
P42003
O96660
Q9XZS4
Q9VS38
O77051
P40417
Q9W2N0
P48603
Q9VR29
Q7Z2C5
Q24248
Q9VDF0
Q24133
Q9VTV7
Q9VPH7
Q960T2
Q04787
O44424
O44783
Q9VMW8
P06002
P54269
P54353
Q9W0K7
Q24090
Q9VZ09
Q9VRM3
Q24206
P02516
Q06559
P17336
P20348
O02195
P40427
P25007
Q24118
O61231
Q9VMA2
P22058
Q23985
Q95RI5
P31009
P23938
P13582
Q9V637
Q8SX86
P54611
O61348
Q9W542
O96689
Q9XZH6
P40796
Q9VNE9
Q9VU21
Q05856
Q9VIM5
P29413
Q9W4S7
Q9U9Q2
Q9VGS2
P25867
P23023
Q9VU58
P41093
Q9VW92
Q8T3W6
Q27350
Q9W4P5
Q24174
O96841
P29742
P06607
P10379
Q05201
Q9W5U2
Q8SYG3
P11147
P07183
P08181
Q24311
P17886
Q9VPI3
P55828
P13469
P02307
Q9VL18
O18640
Q9V574
Q9W1K5
Q9VXY0
Q02360
Q9VCR6
P50887
O44437
P18432
P27091
Q9VB23
Q9VXX8
Q9VG82
Q95RR8
O97067
P08175
P29310
Q9W1C9
Q9U1M2
Q9VBQ9
O46308
P51406
P82910
P02824
P05389
Q24337
Q02361
Q9VBL7
Q9VWE0
Q8T3Y0
P07182
Q9VG94
Q9VG96
Q8SXJ8
P91682
P18824
Q24178
P91943
P13060
P09087
O18413
P45890
Q24046
Q9VVV9
P36951
Q24320
Q9XZT7
Q9VB22
Q24143
P14954
Q24404
Q9VQW4
P17205
O44081
P22700
Q9NJH0
O96827
Q9VXK0
Q7K3G5
Q8SXZ6
Q9XYN7
P02835
Q9VH39
Q9Y0I1
Q9VNA5
Q7KML2
Q9W088
Q9VPS5
Q9V447
Q9VZS6
Q8IR55
Q9VN93
Q94524
P08879
A1Z743
Q9W0V1
P92177
Q27403
Q9VSA3
Q9VXE5
Q9V3B4
P52304
P18289
P40301
Q9VBL6
O02649
P52485
Q9W022
Q9VK46
P02828
Q9VIY9
Q24297
Q9VI10
Q24253
O61351
O96860
O46202
Q9W220
Q9VZD5
Q9V359
P48598
P52487
Q01842
Q8T913
Q8MSF5
Q9VV20
P54357
Q9VD05
A1Z6R8
Q9VCE6
P22807
Q9VGX3
P41094
Q9I7L0
Q9VRB7
Q9VK58
P04657
Q08012
Q9XZT0
Q9TVM2
Q03334
P20354
P19107
Q9V4Q0
Q9XZS6
Q9VA36
P35005
P91938
Q9W219
Q9VVP8
P46824
O46036
P18102
Q95RA8
Q9NBK5
P54359
P42207
Q03017
Q24564
P13706
P10987
Q9VB08
P54399
Q01820
P25992
O16867
Q9VCE1
O97420
P39769
P09491
O18373
Q9W5Q2
Q94514
O62622
P50882
O76912
Q9VLW7
Q9V455
Q9W2U9
Q9NGC3
O76902
P23757
P91641
Q9XZT1
P41092
Q9W553
Q02748
Q9V411
P08570
P19889
Q24338
P15364
Q9VEW2
Q9W3S4
P12881
Q9V5C6
P32100
P21525
Q9W2K8
Q9VSS2
Q8T965
Q9V6B9
Q9VTE5
Q9VCZ8
Q24492
Q94883
P23792
Q07327
P05552
Q9VZH1
Q8MSI2
Q9XYM0
Q9VFA8
O46106
Q9V4M2
Q9VX10
Q9V3P0
Q9W3R7
P91929
P17210
Q9VRI9
Q9XYQ2
P07487
P48555
Q9XZF0
P48593
P48554
Q9VV74
Q961V5
Q9VLV5
P81914
Q24454
Q94516
P51023
Q9VDE3
O77430
Q9W1Y7
Q9W5Q1
Q9W5R8
Q9VTT3
P07185
Q94920
Q9XTL9
Q9VUJ0
Q94523
Q9W4V8
Q9V9I2
Q95RE4
Q9I7M1
P02517
P04357
Q9VS07
Q9W5R5
Q9V564
P17644
P49258
P08111
P83501
Q9V3S0
O16130
Q8IGR0
P49630
P46222
P07909
Q8ST83
O46341
Q9V427
P36188
Q8IN89
P55035
O77260
Q8MR31
Q24547
Q9W2S2
P22464
P00034
O17445
Q9VJZ6
Q9V9S8
Q9VJI5
Q9VHS4
P17276
Q9VSC1
P52486
P02283
P07666
P04197
Q7K1V0
Q9VRB3
P48588
P45594
Q9W594
P17917
Q9VJY9
Q9V5L3
P83094
Q9VVN2
P07187
P12613
P55841
P17133
P06603
Q9V8K2
Q9V4S8
P13395
P36241
P13054
Q9VBL2
Q9W3C1
P21461
P13468
Q9W0A0
Q02645
Q9VNH6
Q7K0D8
Q9VTE9
P15425
Q9VWZ1
P28466
Q9VHY5
Q24210
P40320
P48605
O77264
O76908
P12080
Q9W422
Q9VSN7
Q9V7D2
P25160
Q9VNE1
Q95NR0
P13607
Q9V3W6
P02844
P02843
Q9V439
P13095
Q9XYR0
P54733
P39572
O61443
P49071
Q06453
Q23983
P23380
Q9VF89
Q24423
P08266
Q9VFL8
Q9VZV5
P32392
Q961G1
P39413
Q8T498
Q9U405
Q9VFB9
Q95TN4
Q86BI3
P40688
Q9V3D2
P35415
Q9VK43
Q24008
Q24562
Q94535
Q95TJ8
Q9I7I0
P02574
Q9VVG4
Q9VTU3
P15372
Q9V9J3
P08044
P08970
Q9V3I1
Q8T0G4
P29775
Q9VC27
Q9VHN6
P48451
P47949
P11956
Q24533
P02575
P13238
Q9VDS6
Q9VGC3
Q9VKH0
Q9VXN4
P54350
Q9VJV9
P10734
Q9NEF6
P42519
Q9V8I2
Q9VDQ5
Q24395
Q9XY35
P10333
Q24114
P46415
O76767
Q9XZ63
P45437
Q9VSJ8
P23758
Q9XZT6
P08985
P06742
P12982
Q9VCA9
Q9VHP2
O97111
Q7JVY2
P17971
Q24251
Q9V676
O96840
O97125
Q9XTM1
O18405
O77427
Q9V464
Q8MSS1
P91928
P45975
P41374
Q27415
Q9V818
Q9VFC8
P13098
Q06849
P05205
P48461
Q9VW56
P25228
Q9V3R1
Q9VSH3
P42325
P52029
Q24167
Q8IPF2
Q7KJ69
P25843
P82147
Q960E8
Q26263
P35676
Q9V535
P49028
P06351
P48611
Q07152
Q9VAI0
Q8T0D1
Q9W140
Q9W123
P16914
Q9NK57
Q9VWA2
Q9W0P5
Q9VKJ0
P48609
P48596
Q05652
P22812
P91634
Q9V8R9
Q08694
P04052
P06601
O16844
Q9W5E8
P26019
P18502
Q00963
P08630
Q04164
P08646
Q8SWT6
P20480
O01382
Q9VX41
Q27297
P35381
Q9VGI8
Q24475
Q24570
Q9VIW3
Q9VR59
P42287
P15215
Q08180
P29844
P18091
P10383
P30052
Q01083
Q8IN94
Q9VEX0
Q9W1X4
P43248
P13709
P54358
O46084
P10041
O18388
Q9Y0A7
P41043
Q23973
P31409
Q9VVI3
Q24139
Q8IRS7
P68135
P61092
Q27934
Q9VNB5
P81917
P81909
Q7PLI2
Q9VFC0
Q9N693
Q8IQA6
P49021
O77059
P07663
Q9V6Q2
P84051
Q9VH01
Q6GKZ1
Q9V475
Q9VFP2
Q9VK21
P84040
Q24151
Q24537
Q94517
Q8IQ92
Q9V496
Q8WXI2
Q8ML92
Q7KNQ9
P11346
Q24324
Q15545
O96433
Q7KTX8
Q9V9W8
Q9VW47
P83949
Q961D9
Q9V461
P49735
Q26454
Q02308
P35220
P09077
P31007
P08510
P13217
O76324
P07663-1
Q8MLP1
Q9VCU9
Q8IP72
O94267
P02299
P35875
Q24368
O18381
P02833-1
Q91YV0
P50535
P50536
O02193
P09874
Q32KD2
Q7KY08
Q9VCB3
B7Z0L8
P62152
Q9V3Z6
Q9VZF4
P68198
Q14160
P33450
P22745
Q9W1I2
Q9VF03
Q9VC36
P49846
Q9VWF2
Q9VK27
P25439
Q9BIW6
Q7K012
Q9VNI8
Q95RR6
P16621
Q9U5W9
Q27368
Q24472
Q02936
Q9VM64
Q9W450
Q24572
Q7YU24
Q95U20
Q7KTX7
Q9W1H5
C4XVI7
Q8MYL1
Q29QV6
Q9N675
Q9VA38
Q9VUQ5
Q9IJX4
Q9V6K1
Q9VLW8
A1ZAW0
Q8T9B6
Q9W4M7
P21187
Q9VC57
Q9V727
Q7K5N4
P40793
Q24171
P10040
Q07436
P37276
Q9VUH6
Q960X8
P08953
Q99689
Q9VNE4
O97143
Q7KNS3
Q9VRD9
Q99835
A1Z6W3
Q7JUF2
Q23993
P35222
P26233
P33148
P63085
P13002
O45030
Q8MRL1
Q8IR83
Q9U6B8
P20353
P15454
Q8MQQ3
Q9N9Y9
Q9VWL0
Q9V4Y0
Q9W321
P04412
Q24560
Q24134
Q9Y113
Q32KD4
Q8SY33
Q62226
Q9VT57
P36895
O18407
P08120
Q8IMX5
Q8MQJ9
Q27IR0
Q24145
Q8TEW0
P13677
P10105
P02833
P29555
P54631
Q24025
Q9VJ12
Q15287
Q9VKD7
O18335
O96957
O15971
Q7KLV9
Q9V3G7
O96561
P53350
Q9VND8
P98149
Q94527
P46150
Q6XK19
Q6NPA6
O61735
P68400
Q4KMI8
P23226
Q00805
Q960N3
P14785
Q24044
Q9VR53
Q24292
P49657
Q960D2
Q9W2R4
Q24298
Q9VCN6
Q9VS37
Q9I7L8
Q9VAS9
P42271
P54623
Q9VJ57
Q9VQ35
Q9W0P8
Q8INB9
Q9VEZ5
Q9VHV8
Q9VG38
Q9VS97
Q9NHB0
Q9VYX7
P46116
P09391
P40797
Q9W5E1
Q9VB52
P22808
Q6IL70
Q9NDJ2
P91664
Q9GT24
