Protein
A1Z6E0
A1Z6W3
A1Z8N1
A1Z8P9
A1Z9A2
A1Z9S1
A1ZA92
A1ZAB5
A1ZAI3
A1ZAW5
A1ZAX1
A1ZBE8
A1ZBW7
A8JR14
O01346
O01382
O01666
O02002
O02193
O02195
O02372
O02649
O16130
O16797
O16810
O16844
O16867
O16868
O17468
O18404
O18405
O18408
O18412
O18413
O18640
O44342
O44386
O44424
O44437
O46036
O46043
O46054
O46098
O46106
O46108
O46197
O46202
O46339
O46341
O61231
O61267
O61307
O61345
O61366
O61443
O61491
O61613
O61643
O61734
O61735
O62589
O62618
O62621
O76324
O76454
O76460
O76464
O76878
O76922
O76924
O76927
O77059
O77237
O77277
O77410
O77459
O77460
O96433
O96553
O96690
O96827
O96860
O96863
O97067
O97125
O97143
O97178
O97179
O97420
O97477
P02516
P02572
P02574
P02828
P02835
P02836
P04052
P04357
P04359
P04388
P04814
P04950
P05031
P05049
P05084
P05130
P05205
P05303
P05389
P05527
P05812
P06002
P06601
P06602
P06603
P06604
P06605
P06742
P07182
P07183
P07185
P07187
P07188
P07189
P07190
P07191
P07207
P07247
P07486
P07487
P07548
P07664
P07665
P07666
P07713
P07764
P07909
P08044
P08111
P08120
P08175
P08182
P08255
P08510
P08570
P08630
P08645
P08646
P08841
P08879
P08928
P08970
P08985
P09077
P09081
P09082
P09083
P09085
P09087
P09089
P09180
P09478
P09491
P09774
P09775
P0CG69
P10035
P10041
P10083
P10084
P10105
P10180
P10181
P10333
P10351
P10379
P10383
P10627
P10676
P10981
P11146
P11346
P11449
P11956
P11995
P11997
P12080
P12297
P12370
P12428
P12613
P12982
P13054
P13060
P13095
P13096
P13097
P13098
P13360
P13468
P13469
P13496
P13607
P13677
P13706
P13709
P14003
P14199
P14318
P14599
P14734
P14785
P15007
P15357
P15370
P15619
P16163
P16371
P16376
P16378
P16554
P16568
P16620
P16621
P16911
P16912
P17133
P17210
P17336
P17644
P17704
P17886
P17917
P17971
P18091
P18102
P18106
P18171
P18289
P18432
P18459
P18475
P18486
P18487
P18489
P18490
P18491
P18502
P18537
P18824
P19018
P19107
P19109
P19538
P19889
P19967
P20007
P20009
P20028
P20105
P20153
P20193
P20227
P20228
P20232
P20348
P20351
P20353
P20354
P20385
P20432
P20439
P20477
P20480
P20483
P20659
P21519
P21520
P21750
P21914
P22058
P22265
P22464
P22465
P22469
P22711
P22745
P22769
P22807
P22810
P22812
P22815
P22817
P22977
P22979
P23023
P23128
P23572
P23573
P23625
P23645
P23654
P23757
P23779
P23792
P23803
P23938
P24156
P24350
P24785
P25007
P25008
P25028
P25123
P25153
P25158
P25159
P25160
P25167
P25171
P25228
P25439
P25455
P25722
P25723
P25724
P25822
P25823
P25843
P25867
P25932
P25992
P26270
P26308
P26675
P26686
P26802
P27091
P27398
P27716
P28166
P28167
P28465
P28518
P28668
P28750
P29052
P29310
P29349
P29503
P29555
P29617
P29746
P29775
P29776
P29829
P29844
P29845
P30430
P30432
P30974
P30975
P31007
P31009
P31264
P31396
P31409
P32031
P32234
P32748
P32870
P33244
P33438
P33450
P34021
P34082
P34739
P35122
P35128
P35381
P35554
P35600
P35820
P35992
P36872
P36951
P38040
P38979
P39018
P39205
P39413
P39572
P39736
P39768
P40304
P40320
P40423
P40427
P40589
P40656
P40657
P40688
P40689
P40791
P40792
P40793
P40794
P40795
P40796
P40797
P40798
P40809
P40945
P40946
P41043
P41044
P41046
P41073
P41093
P41094
P41126
P41375
P41596
P41900
P42003
P42124
P42271
P42280
P42287
P42325
P42519
P42570
P43248
P43332
P45437
